epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1724.96,1.23236,1.20542,1.36897,0.82525,0.62964,0.71714,0.43234,1.27078,0.92425,1.29271,0.000660003,0.000660003,0.000660003
70,1748.98,1.23082,1.20723,1.37332,0.81478,0.62338,0.70665,0.42308,1.30433,0.96488,1.31052,0.000655003,0.000655003,0.000655003
71,1772.94,1.20405,1.16916,1.35197,0.81649,0.63489,0.7178,0.4373,1.25789,0.94065,1.27894,0.000650003,0.000650003,0.000650003
72,1797.17,1.22734,1.18502,1.37434,0.81924,0.63023,0.71576,0.43365,1.27498,0.9473,1.28779,0.000645004,0.000645004,0.000645004
73,1821.04,1.23496,1.19809,1.37328,0.82249,0.63457,0.71809,0.43066,1.30724,0.94984,1.32598,0.000640004,0.000640004,0.000640004
74,1844.81,1.21206,1.1711,1.36456,0.82377,0.63921,0.72234,0.44038,1.25688,0.91407,1.27539,0.000635004,0.000635004,0.000635004
75,1868.81,1.21967,1.1693,1.36104,0.82966,0.62587,0.71845,0.43742,1.27078,0.92986,1.28082,0.000630004,0.000630004,0.000630004
76,1892.8,1.20955,1.14727,1.34146,0.81657,0.65058,0.73132,0.44895,1.24583,0.89341,1.27413,0.000625004,0.000625004,0.000625004
77,1916.84,1.2077,1.14988,1.35334,0.82112,0.63914,0.72998,0.44843,1.23535,0.90181,1.26569,0.000620004,0.000620004,0.000620004
78,1940.62,1.20816,1.14242,1.35776,0.82551,0.63285,0.72271,0.43788,1.27391,0.91298,1.29519,0.000615004,0.000615004,0.000615004
79,1964.69,1.2088,1.1425,1.34501,0.83205,0.64524,0.73417,0.44801,1.2523,0.88826,1.27084,0.000610004,0.000610004,0.000610004
80,1988.65,1.21928,1.16091,1.3525,0.82672,0.63479,0.72504,0.44121,1.2769,0.90686,1.28866,0.000605004,0.000605004,0.000605004
81,2012.57,1.19335,1.14298,1.34714,0.8235,0.64822,0.73056,0.44911,1.2408,0.8824,1.27385,0.000600004,0.000600004,0.000600004
82,2036.65,1.18947,1.13062,1.34943,0.83714,0.6397,0.73111,0.45045,1.25424,0.88297,1.27173,0.000595004,0.000595004,0.000595004
83,2060.74,1.1954,1.13086,1.34734,0.82972,0.64923,0.73725,0.45348,1.25593,0.8837,1.27665,0.000590004,0.000590004,0.000590004
84,2084.87,1.19094,1.11723,1.33362,0.83255,0.65814,0.74296,0.46099,1.24405,0.87717,1.26598,0.000585004,0.000585004,0.000585004
85,2108.83,1.18515,1.11758,1.33192,0.83499,0.65162,0.73924,0.45904,1.2373,0.86281,1.26214,0.000580004,0.000580004,0.000580004
